pmt_id,pmt_x,pmt_y,pmt_z
300854,403.90063,6248.164,18150.408
300855,-134.7167,6259.7554,18150.408
300857,-1204.9788,6144.161,18150.408
300859,-2239.622,5846.9463,18150.408
300860,-2733.963,5632.7734,18150.408
300862,-3658.4106,5081.2124,18150.408
300864,-4474.717,4379.452,18150.408
300865,-4834.631,3978.572,18150.408
300867,-5444.6772,3091.63,18150.408
300869,-5893.781,2113.3,18150.408
300870,-6053.6323,1598.8193,18150.408
300872,-6238.0273,538.2432,18150.408
300874,-6238.0273,-538.2432,18150.408
300876,-6053.6323,-1598.8193,18150.408
300877,-5893.781,-2113.3,18150.408
300879,-5444.6772,-3091.63,18150.408
300881,-4834.631,-3978.572,18150.408
300882,-4474.717,-4379.452,18150.408
300884,-3658.4106,-5081.2124,18150.408
300886,-2733.963,-5632.7734,18150.408
300887,-2239.622,-5846.9463,18150.408
300889,-1204.9788,-6144.161,18150.408
300891,-134.7167,-6259.7554,18150.408
300892,403.90063,-6248.164,18150.408
300893,939.52765,-6190.313,18150.408
